21.09.2018 открытие;21.09.2018 максимум;21.09.2018 минимум;21.09.2018 закрытие;23.10.2018 открытие;23.10.2018 максимум;23.10.2018 минимум;23.10.2018 закрытие;21.11.2018 открытие;21.11.2018 максимум;21.11.2018 минимум;21.11.2018 закрытие;04.12.2018 открытие;04.12.2018 максимум;04.12.2018 минимум;04.12.2018 закрытие
112650;112690;112650;112670;110990;111120;110980;111050;111620;111660;111620;111630;115620;115690;115600;115660
112660;112670;112610;112650;111060;111130;111030;111100;111630;111680;111610;111610;115670;115690;115650;115670
112660;112690;112630;112680;111100;111310;111090;111260;111620;111620;111590;111600;115670;115680;115620;115680
112670;112700;112660;112690;111260;111290;111200;111220;111580;111600;111530;111530;115670;115690;115660;115660
112670;112720;112670;112700;111220;111270;111220;111220;111540;111700;111530;111680;115670;115680;115650;115660
112720;112760;112700;112740;111220;111230;111160;111170;111690;111740;111660;111690;115670;115690;115630;115640
112750;112750;112700;112700;111170;111220;111140;111180;111680;111720;111670;111670;115650;115660;115630;115640
112720;112760;112720;112730;111200;111210;111130;111170;111660;111720;111650;111680;115640;115650;115620;115640
112720;112740;112710;112740;111170;111190;111100;111110;111670;111700;111620;111620;115640;115640;115600;115620
112740;112750;112710;112750;111130;111180;111130;111160;111620;111730;111620;111710;115610;115630;115600;115610
112750;112780;112750;112770;111160;111210;111150;111180;111720;111730;111680;111700;115610;115630;115600;115620
112770;112780;112750;112750;111200;111330;111200;111290;111700;111790;111680;111730;115610;115660;115580;115580
112740;112770;112740;112750;111290;111320;111220;111230;111740;111780;111710;111730;115580;115660;115580;115620
112770;112780;112740;112750;111220;111270;111200;111250;111730;111770;111700;111740;115620;115640;115580;115610
112750;112780;112730;112770;111250;111280;111230;111260;111740;111870;111740;111760;115620;115620;115580;115580
112770;112780;112760;112770;111270;111310;111230;111240;111750;111760;111720;111750;115580;115590;115560;115590
